Pattern,Extension,Count,Percentage,Total_Files,Context
3rd Party Registration,.json,10043,68.1%,14740,All Scored Files
3rd Party Registration,.yaml,1039,7.0%,14740,All Scored Files
3rd Party Registration,.yml,894,6.1%,14740,All Scored Files
3rd Party Registration,[no ext],400,2.7%,14740,All Scored Files
3rd Party Registration,.py,383,2.6%,14740,All Scored Files
3rd Party Registration,.sample,315,2.1%,14740,All Scored Files
3rd Party Registration,.go,281,1.9%,14740,All Scored Files
3rd Party Registration,.md,149,1.0%,14740,All Scored Files
3rd Party Registration,.rs,117,0.8%,14740,All Scored Files
3rd Party Registration,.ts,103,0.7%,14740,All Scored Files
Multiple service instances per host,.go,659,13.5%,4890,All Scored Files
Multiple service instances per host,[no ext],554,11.3%,4890,All Scored Files
Multiple service instances per host,.sh,430,8.8%,4890,All Scored Files
Multiple service instances per host,.sample,356,7.3%,4890,All Scored Files
Multiple service instances per host,.yaml,291,6.0%,4890,All Scored Files
Multiple service instances per host,.js,281,5.7%,4890,All Scored Files
Multiple service instances per host,.py,210,4.3%,4890,All Scored Files
Multiple service instances per host,.rs,197,4.0%,4890,All Scored Files
Multiple service instances per host,.ts,184,3.8%,4890,All Scored Files
Multiple service instances per host,.json,153,3.1%,4890,All Scored Files
Server-side service discovery,.yml,420,11.0%,3831,All Scored Files
Server-side service discovery,.sample,368,9.6%,3831,All Scored Files
Server-side service discovery,[no ext],346,9.0%,3831,All Scored Files
Server-side service discovery,.yaml,289,7.5%,3831,All Scored Files
Server-side service discovery,.ts,274,7.2%,3831,All Scored Files
Server-side service discovery,.md,229,6.0%,3831,All Scored Files
Server-side service discovery,.py,200,5.2%,3831,All Scored Files
Server-side service discovery,.rs,191,5.0%,3831,All Scored Files
Server-side service discovery,.json,167,4.4%,3831,All Scored Files
Server-side service discovery,.go,102,2.7%,3831,All Scored Files
Service deployment platform,.json,10083,60.2%,16744,All Scored Files
Service deployment platform,[no ext],730,4.4%,16744,All Scored Files
Service deployment platform,.py,720,4.3%,16744,All Scored Files
Service deployment platform,.yml,551,3.3%,16744,All Scored Files
Service deployment platform,.yaml,542,3.2%,16744,All Scored Files
Service deployment platform,.sample,503,3.0%,16744,All Scored Files
Service deployment platform,.sh,437,2.6%,16744,All Scored Files
Service deployment platform,.kt,263,1.6%,16744,All Scored Files
Service deployment platform,.md,254,1.5%,16744,All Scored Files
Service deployment platform,.js,219,1.3%,16744,All Scored Files
Service instance per VM,.xml,8027,58.7%,13675,All Scored Files
Service instance per VM,.py,734,5.4%,13675,All Scored Files
Service instance per VM,[no ext],689,5.0%,13675,All Scored Files
Service instance per VM,.yml,533,3.9%,13675,All Scored Files
Service instance per VM,.sample,513,3.8%,13675,All Scored Files
Service instance per VM,.js,337,2.5%,13675,All Scored Files
Service instance per VM,.md,255,1.9%,13675,All Scored Files
Service instance per VM,.yaml,235,1.7%,13675,All Scored Files
Service instance per VM,.rs,221,1.6%,13675,All Scored Files
Service instance per VM,.ts,219,1.6%,13675,All Scored Files
Service instance per container,.py,518,13.0%,3996,All Scored Files
Service instance per container,.yaml,482,12.1%,3996,All Scored Files
Service instance per container,[no ext],442,11.1%,3996,All Scored Files
Service instance per container,.yml,425,10.6%,3996,All Scored Files
Service instance per container,.sample,285,7.1%,3996,All Scored Files
Service instance per container,.json,195,4.9%,3996,All Scored Files
Service instance per container,.go,169,4.2%,3996,All Scored Files
Service instance per container,.tsx,168,4.2%,3996,All Scored Files
Service instance per container,.ts,160,4.0%,3996,All Scored Files
Service instance per container,.md,158,4.0%,3996,All Scored Files
Service mesh,.json,9827,62.9%,15614,All Scored Files
Service mesh,.yml,1070,6.9%,15614,All Scored Files
Service mesh,.py,529,3.4%,15614,All Scored Files
Service mesh,[no ext],526,3.4%,15614,All Scored Files
Service mesh,.yaml,377,2.4%,15614,All Scored Files
Service mesh,.sample,373,2.4%,15614,All Scored Files
Service mesh,.js,322,2.1%,15614,All Scored Files
Service mesh,.tsx,255,1.6%,15614,All Scored Files
Service mesh,.md,250,1.6%,15614,All Scored Files
Service mesh,.rs,234,1.5%,15614,All Scored Files
Service registry,.go,15625,40.5%,38572,All Scored Files
Service registry,.md,9949,25.8%,38572,All Scored Files
Service registry,.py,5119,13.3%,38572,All Scored Files
Service registry,.js,1509,3.9%,38572,All Scored Files
Service registry,.yml,1022,2.6%,38572,All Scored Files
Service registry,.sh,525,1.4%,38572,All Scored Files
Service registry,[no ext],515,1.3%,38572,All Scored Files
Service registry,.sample,503,1.3%,38572,All Scored Files
Service registry,.java,459,1.2%,38572,All Scored Files
Service registry,.toml,293,0.8%,38572,All Scored Files
Single Service Instance per Host,.go,663,10.8%,6115,All Scored Files
Single Service Instance per Host,.py,552,9.0%,6115,All Scored Files
Single Service Instance per Host,[no ext],490,8.0%,6115,All Scored Files
Single Service Instance per Host,.yml,470,7.7%,6115,All Scored Files
Single Service Instance per Host,.sample,437,7.1%,6115,All Scored Files
Single Service Instance per Host,.ts,362,5.9%,6115,All Scored Files
Single Service Instance per Host,.tsx,343,5.6%,6115,All Scored Files
Single Service Instance per Host,.yaml,307,5.0%,6115,All Scored Files
Single Service Instance per Host,.tf,269,4.4%,6115,All Scored Files
Single Service Instance per Host,.js,257,4.2%,6115,All Scored Files
3rd Party Registration,.go,28,50.0%,56,Pattern Detected
3rd Party Registration,.java,9,16.1%,56,Pattern Detected
3rd Party Registration,.md,4,7.1%,56,Pattern Detected
3rd Party Registration,.sh,4,7.1%,56,Pattern Detected
3rd Party Registration,.yaml,3,5.4%,56,Pattern Detected
3rd Party Registration,.h,2,3.6%,56,Pattern Detected
3rd Party Registration,.cpp,2,3.6%,56,Pattern Detected
3rd Party Registration,.ini,2,3.6%,56,Pattern Detected
3rd Party Registration,[no ext],1,1.8%,56,Pattern Detected
3rd Party Registration,.yml,1,1.8%,56,Pattern Detected
Multiple service instances per host,.sh,238,18.5%,1284,Pattern Detected
Multiple service instances per host,.yaml,184,14.3%,1284,Pattern Detected
Multiple service instances per host,[no ext],121,9.4%,1284,Pattern Detected
Multiple service instances per host,.ts,67,5.2%,1284,Pattern Detected
Multiple service instances per host,.cs,64,5.0%,1284,Pattern Detected
Multiple service instances per host,.yml,55,4.3%,1284,Pattern Detected
Multiple service instances per host,.rs,51,4.0%,1284,Pattern Detected
Multiple service instances per host,.ex,50,3.9%,1284,Pattern Detected
Multiple service instances per host,.conf,45,3.5%,1284,Pattern Detected
Multiple service instances per host,.json,42,3.3%,1284,Pattern Detected
Server-side service discovery,.yaml,150,25.4%,590,Pattern Detected
Server-side service discovery,.py,103,17.5%,590,Pattern Detected
Server-side service discovery,.pt,67,11.4%,590,Pattern Detected
Server-side service discovery,.rs,40,6.8%,590,Pattern Detected
Server-side service discovery,.md,34,5.8%,590,Pattern Detected
Server-side service discovery,.go,28,4.7%,590,Pattern Detected
Server-side service discovery,.java,26,4.4%,590,Pattern Detected
Server-side service discovery,[no ext],18,3.1%,590,Pattern Detected
Server-side service discovery,.j2,16,2.7%,590,Pattern Detected
Server-side service discovery,.yml,12,2.0%,590,Pattern Detected
Service deployment platform,.yaml,431,20.6%,2090,Pattern Detected
Service deployment platform,.json,297,14.2%,2090,Pattern Detected
Service deployment platform,.sh,245,11.7%,2090,Pattern Detected
Service deployment platform,.yml,240,11.5%,2090,Pattern Detected
Service deployment platform,[no ext],191,9.1%,2090,Pattern Detected
Service deployment platform,.go,179,8.6%,2090,Pattern Detected
Service deployment platform,.js,127,6.1%,2090,Pattern Detected
Service deployment platform,.html,66,3.2%,2090,Pattern Detected
Service deployment platform,.md,54,2.6%,2090,Pattern Detected
Service deployment platform,.sample,46,2.2%,2090,Pattern Detected
Service instance per VM,.xml,5876,99.0%,5937,Pattern Detected
Service instance per VM,.rs,34,0.6%,5937,Pattern Detected
Service instance per VM,.service,15,0.3%,5937,Pattern Detected
Service instance per VM,.yml,5,0.1%,5937,Pattern Detected
Service instance per VM,.json,2,0.0%,5937,Pattern Detected
Service instance per VM,.ps1,1,0.0%,5937,Pattern Detected
Service instance per VM,[no ext],1,0.0%,5937,Pattern Detected
Service instance per VM,.sh,1,0.0%,5937,Pattern Detected
Service instance per VM,.mk,1,0.0%,5937,Pattern Detected
Service instance per VM,.toml,1,0.0%,5937,Pattern Detected
Service instance per container,.yaml,382,23.7%,1609,Pattern Detected
Service instance per container,[no ext],213,13.2%,1609,Pattern Detected
Service instance per container,.go,151,9.4%,1609,Pattern Detected
Service instance per container,.py,149,9.3%,1609,Pattern Detected
Service instance per container,.yml,119,7.4%,1609,Pattern Detected
Service instance per container,.sample,85,5.3%,1609,Pattern Detected
Service instance per container,.md,79,4.9%,1609,Pattern Detected
Service instance per container,.sh,52,3.2%,1609,Pattern Detected
Service instance per container,.js,52,3.2%,1609,Pattern Detected
Service instance per container,.json,32,2.0%,1609,Pattern Detected
Service mesh,.rs,38,30.6%,124,Pattern Detected
Service mesh,.yaml,29,23.4%,124,Pattern Detected
Service mesh,.md,15,12.1%,124,Pattern Detected
Service mesh,.js,11,8.9%,124,Pattern Detected
Service mesh,.tf,6,4.8%,124,Pattern Detected
Service mesh,.ts,5,4.0%,124,Pattern Detected
Service mesh,.txt,4,3.2%,124,Pattern Detected
Service mesh,.toml,4,3.2%,124,Pattern Detected
Service mesh,.json,3,2.4%,124,Pattern Detected
Service mesh,.tfvars,2,1.6%,124,Pattern Detected
Service registry,.java,36,29.5%,122,Pattern Detected
Service registry,.ex,32,26.2%,122,Pattern Detected
Service registry,.go,19,15.6%,122,Pattern Detected
Service registry,.rs,13,10.7%,122,Pattern Detected
Service registry,.ts,10,8.2%,122,Pattern Detected
Service registry,.toml,3,2.5%,122,Pattern Detected
Service registry,.md,2,1.6%,122,Pattern Detected
Service registry,[no ext],2,1.6%,122,Pattern Detected
Service registry,.mod,1,0.8%,122,Pattern Detected
Service registry,.sum,1,0.8%,122,Pattern Detected
Single Service Instance per Host,.tf,269,42.0%,641,Pattern Detected
Single Service Instance per Host,.sh,92,14.4%,641,Pattern Detected
Single Service Instance per Host,.nix,48,7.5%,641,Pattern Detected
Single Service Instance per Host,.yml,30,4.7%,641,Pattern Detected
Single Service Instance per Host,.rs,27,4.2%,641,Pattern Detected
Single Service Instance per Host,.service,25,3.9%,641,Pattern Detected
Single Service Instance per Host,[no ext],24,3.7%,641,Pattern Detected
Single Service Instance per Host,.yaml,23,3.6%,641,Pattern Detected
Single Service Instance per Host,.md,22,3.4%,641,Pattern Detected
Single Service Instance per Host,.ex,16,2.5%,641,Pattern Detected
