tp,fp,tn,fn,precision,recall,accuracy,f1,pattern,prevalence,prevalence_pct
1,2,168,19,0.3333333333333333,0.05,0.8894736842105263,0.08695652173913045,3rd Party Registration,20,10.5
28,36,98,28,0.4375,0.5,0.6631578947368421,0.4666666666666667,Multiple service instances per host,56,29.5
4,11,161,14,0.26666666666666666,0.2222222222222222,0.868421052631579,0.2424242424242424,Server-side service discovery,18,9.5
20,30,114,26,0.4,0.43478260869565216,0.7052631578947368,0.41666666666666663,Service deployment platform,46,24.2
47,22,102,19,0.6811594202898551,0.7121212121212122,0.7842105263157895,0.6962962962962962,Service instance per container,66,34.7
3,1,156,30,0.75,0.09090909090909091,0.8368421052631579,0.16216216216216214,Service instance per VM,33,17.4
2,3,166,19,0.4,0.09523809523809523,0.8842105263157894,0.15384615384615385,Service mesh,21,11.1
2,5,158,25,0.2857142857142857,0.07407407407407407,0.8421052631578947,0.11764705882352941,Service registry,27,14.2
7,6,123,54,0.5384615384615384,0.11475409836065574,0.6842105263157895,0.1891891891891892,Single Service Instance per Host,61,32.1
